Year,BOM_id,Movie,W_01,W_02,W_03,W_04,W_05,W_06,W_07,W_08,W_09,W_10,W_11,W_12,W_13,W_14,W_15,W_16,W_17,W_18,W_19,W_20,W_21,W_22,W_23,W_24,W_25,W_26,W_27,W_28,W_29,W_30,W_31,W_32,W_33,W_34,W_35,W_36,W_37,W_38,W_39,W_40,W_41,W_42,W_43,W_44,W_45,W_46,W_47,W_48,W_49,W_50,W_51,W_52,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52
17,starwars8,Star Wars: The Last Jedi,296602356,168095872,84264374,31311982,17443892,8823345,5574959,3319499,1986498,952941,487918,354095,398886,249192,165094,100118,41729,8632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296602356,464698228,548962602,580274584,597718476,606541821,612116780,615436279,617422777,618375718,618863636,619217731,619616617,619865809,620030903,620131021,620172750,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382,620181382
17,wonderwoman,Wonder Woman,147822503,86004227,59378428,37324317,28121716,15149887,10602201,7500427,5242373,3582006,2180291,1609685,2500960,2822121,921158,889911,428236,233496,124722,63077,32337,16863,12466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147822503,233826730,293205158,330529475,358651191,373801078,384403279,391903706,397146079,400728085,402908376,404518061,407019021,409841142,410762300,411652211,412080447,412313943,412438665,412501742,412534079,412550942,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408,412563408
17,marvel17a,Guardians of the Galaxy Vol. 2,183157419,83580055,46578453,32425405,14377840,9751843,7342312,4630648,2856031,1362384,833112,591905,458028,676513,385447,260873,160937,277709,70950,35237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183157419,266737474,313315927,345741332,360119172,369871015,377213327,381843975,384700006,386062390,386895502,387487407,387945435,388621948,389007395,389268268,389429205,389706914,389777864,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101,389813101
17,it,It,158710619,77628262,37533909,21405688,13601043,7855095,4630586,3513232,1306400,563417,251787,235874,146250,99586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158710619,236338881,273872790,295278478,308879521,316734616,321365202,324878434,326184834,326748251,327000038,327235912,327382162,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748,327481748
17,despicableme3,Despicable Me 3,115190660,53851490,31566075,22091680,12791005,9115535,5094075,3152860,2681850,3512945,1189270,1066470,601445,443010,422105,303545,246515,235450,273270,240265,207410,137510,80440,64650,64770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115190660,169042150,200608225,222699905,235490910,244606445,249700520,252853380,255535230,259048175,260237445,261303915,261905360,262348370,262770475,263074020,263320535,263555985,263829255,264069520,264276930,264414440,264494880,264559530,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300,264624300
17,wolverine2017,Logan (2017),114806733,51720152,24783711,14357041,8339771,5711871,2708983,1308449,1013490,473144,457160,284767,44672,199582,32174,16869,11383,5874,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114806733,166526885,191310596,205667637,214007408,219719279,222428262,223736711,224750201,225223345,225680505,225965272,226144313,226209526,226241700,226258569,226269952,226275826,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068,226277068
17,pixar1117,Coco,22106325,60469079,34630286,23580206,15333232,16253331,14170502,7000479,5272860,2450937,1792492,2226612,1194326,1082343,589709,433614,400046,256149,183343,127154,89736,51000,32254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22106325,82575404,117205690,140785896,156119128,172372459,186542961,193543440,198816300,201267237,203059729,205286341,206480667,207563010,208152719,208586333,208986379,209242528,209425871,209553025,209642761,209693761,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015,209726015
17,blumhouse2,Get Out,49843640,40138205,29886300,18949890,12255925,7758690,5797365,4008130,2185865,2300975,1017385,552335,367570,290695,131170,76375,52705,33140,24240,16270,253980,69840,29975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49843640,89981845,119868145,138818035,151073960,158832650,164630015,168638145,170824010,173124985,174142370,174694705,175062275,175352970,175484140,175560515,175613220,175646360,175670600,175686870,175940850,176010690,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665,176040665
17,bossbaby,The Boss Baby,63073318,37707912,23460640,15173714,11144941,7218745,5573280,3904640,3043374,1010962,858017,579829,561433,411141,342526,255214,247725,176834,110190,48377,25756,23736,15126,10649,2013,649,18849,375,1696,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63073318,100781230,124241870,139415584,150560525,157779270,163352550,167257190,170300564,171311526,172169543,172749372,173310805,173721946,174064472,174319686,174567411,174744245,174854435,174902812,174928568,174952304,174967430,174978079,174980092,174980741,174999590,174999965,175001661,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033,175003033
17,potc5,Pirates of the Caribbean: Dead Men Tell No Tales,93008771,32117523,16481820,13157212,8290261,4569710,1925589,819314,421961,365367,295562,173842,269717,186417,270671,122907,82232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93008771,125126294,141608114,154765326,163055587,167625297,169550886,170370200,170792161,171157528,171453090,171626932,171896649,172083066,172353737,172476644,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876,172558876
