Year,BOM_id,Movie,W_01,W_02,W_03,W_04,W_05,W_06,W_07,W_08,W_09,W_10,W_11,W_12,W_13,W_14,W_15,W_16,W_17,W_18,W_19,W_20,W_21,W_22,W_23,W_24,W_25,W_26,W_27,W_28,W_29,W_30,W_31,W_32,W_33,W_34,W_35,W_36,W_37,W_38,W_39,W_40,W_41,W_42,W_43,W_44,W_45,W_46,W_47,W_48,W_49,W_50,W_51,W_52,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52
2018,marvel2017b,Black Panther,291954422,143445615,85479564,57496927,35881708,25178398,17489106,11529782,7986587,7186380,6352126,4273996,2707174,1174457,746707,368118,217287,203114,113230,60009,42286,19869,45572,16592,90540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291954422,435400037,520879601,578376528,614258236,639436634,656925740,668455522,676442109,683628489,689980615,694254611,696961785,698136242,698882949,699251067,699468354,699671468,699784698,699844707,699886993,699906862,699952434,699969026,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566,700059566
2018,theincredibles2,Incredibles 2,269446690,124736824,81177900,44237078,26216948,19808208,12508642,8210310,5456248,3614118,2447947,5252592,1755520,955333,667224,353505,417506,276976,220915,180084,212891,166736,131124,66319,38406,25700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269446690,394183514,475361414,519598492,545815440,565623648,578132290,586342600,591798848,595412966,597860913,603113505,604869025,605824358,606491582,606845087,607262593,607539569,607760484,607940568,608153459,608320195,608451319,608517638,608556044,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744,608581744
2018,foxmarvel18,Deadpool 2,164707352,66620086,33688103,20865267,13019513,7999537,5971542,2584220,1191820,751414,440675,285867,153215,86806,50105,43040,10320,13518,3376,3239,1660,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164707352,231327438,265015541,285880808,298900321,306899858,312871400,315455620,316647440,317398854,317839529,318125396,318278611,318365417,318415522,318458562,318468882,318482400,318485776,318489015,318490675,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426,318491426
2018,missionimpossible6,Mission: Impossible - Fallout,89487371,52479913,28271437,15661939,11445869,10970238,5503570,3154330,1594266,863496,497901,228774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89487371,141967284,170238721,185900660,197346529,208316767,213820337,216974667,218568933,219432429,219930330,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104,220159104
2018,untitledhansolostarwarsanthologyfilm,Solo: A Star Wars Story,119592692,41358782,22812613,14367783,6854245,4873982,1652879,661331,404452,257742,317944,207217,159987,103581,91639,32885,17758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119592692,160951474,183764087,198131870,204986115,209860097,211512976,212174307,212578759,212836501,213154445,213361662,213521649,213625230,213716869,213749754,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512,213767512
2018,astarisborn2018,A Star is Born (2018),66160360,40915886,27501154,19957166,15475822,11480519,6496136,3930393,2671161,3549477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66160360,107076246,134577400,154534566,170010388,181490907,187987043,191917436,194588597,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074,198138074
2018,bohemianrhapsody,Bohemian Rhapsody,69160548,43025311,25971091,18166200,11246020,8729030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69160548,112185859,138156950,156323150,167569170,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200,176298200
2018,hoteltransylvania3,Hotel Transylvania 3: Summer Vacation,1276384,66662884,38984233,21332380,13521510,8416309,5923689,3783617,3210607,1394486,970886,687636,340991,339860,226572,163506,108930,70468,49682,32520,12866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276384,67939268,106923501,128255881,141777391,150193700,156117389,159901006,163111613,164506099,165476985,166164621,166505612,166845472,167072044,167235550,167344480,167414948,167464630,167497150,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016,167510016
2018,wbevent2018,Fantastic Beasts: The Crimes of Grindelwald,87178811,35962595,15261118,9600886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87178811,123141406,138402524,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410,148003410
2018,wbeventfilm2018,The Meg,62609062,29661584,17715770,15556358,7739416,4890729,2775186,1277678,372581,102427,179336,125729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62609062,92270646,109986416,125542774,133282190,138172919,140948105,142225783,142598364,142700791,142880127,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856,143005856
