Year,BOM_id,Movie,W_01,W_02,W_03,W_04,W_05,W_06,W_07,W_08,W_09,W_10,W_11,W_12,W_13,W_14,W_15,W_16,W_17,W_18,W_19,W_20,W_21,W_22,W_23,W_24,W_25,W_26,W_27,W_28,W_29,W_30,W_31,W_32,W_33,W_34,W_35,W_36,W_37,W_38,W_39,W_40,W_41,W_42,W_43,W_44,W_45,W_46,W_47,W_48,W_49,W_50,W_51,W_52,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52
16,ghostbusters2016,Ghostbusters (2016),65256739,31114732,15540465,7497066,3451432,1542187,772006,1528268,356692,256397,168255,299516,249620,150603,88783,52351,25462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65256739,96371471,111911936,119409002,122860434,124402621,125174627,126702895,127059587,127315984,127484239,127783755,128033375,128183978,128272761,128325112,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574,128350574
16,tarzan2016,The Legend of Tarzan,60797712,31132545,17463827,10057126,3798814,1258664,550026,541367,411902,396647,234431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60797712,91930257,109394084,119451210,123250024,124508688,125058714,125600081,126011983,126408630,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061,126643061
16,untitledlucasmoore,Bad Moms,36846830,23164463,17721135,11960807,8093959,6909072,3548662,2427624,1366908,641379,277433,169765,129260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36846830,60011293,77732428,89693235,97787194,104696266,108244928,110672552,112039460,112680839,112958272,113128038,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297,113257297
16,id42,Independence Day: Resurgence,56157073,27638509,11270861,5257882,1346315,459312,277005,227623,172907,91566,221482,23751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56157073,83795582,95066443,100324325,101670640,102129952,102406957,102634580,102807487,102899053,103120535,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286,103144286
16,arrival2016,Arrival,31570799,19536764,14670951,10073194,7841659,4608991,2529974,2430190,1258058,829052,505567,1986436,1116100,644535,488193,322315,133361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31570799,51107563,65778514,75851708,83693367,88302358,90832332,93262522,94520580,95349632,95855199,97841635,98957735,99602270,100090463,100412778,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139,100546139
16,sausageparty,Sausage Party,50001019,22342491,10802614,7736455,3252282,1686731,769807,262752,692522,69858,30613,23214,15328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50001019,72343510,83146124,90882579,94134861,95821592,96591399,96854151,97546673,97616531,97647144,97670358,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686,97685686
16,ridealong2,Ride Along 2,46150040,16279650,10257140,5844405,5754245,2701005,1811380,892780,558700,333820,169155,110365,79680,60375,67050,52820,33610,24190,21620,12190,6275,1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46150040,62429690,72686830,78531235,84285480,86986485,88797865,89690645,90249345,90583165,90752320,90862685,90942365,91002740,91069790,91122610,91156220,91180410,91202030,91214220,91220495,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830,91221830
16,peregrine,Miss Peregrine's Home for Peculiar Children,36053483,20879306,11499046,7472345,5330209,2712718,1440534,533756,292022,212666,176268,159024,135390,133224,71377,68755,41211,22027,9473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36053483,56932789,68431835,75904180,81234389,83947107,85387641,85921397,86213419,86426085,86602353,86761377,86896767,87029991,87101368,87170123,87211334,87233361,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834,87242834
16,tmnt2016,Teenage Mutant Ninja Turtles: Out of the Shadows,46239783,20489791,7987981,4029947,1336299,502116,385544,184561,347327,209377,147930,82746,55421,52778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46239783,66729574,74717555,78747502,80083801,80585917,80969883,81156022,81503349,81712726,81860656,81943402,81998823,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601,82051601
16,alice2,Alice Through the Looking Glass,40081597,16811014,8810313,6723939,2853466,626667,344858,158527,90366,251774,160283,84790,28096,15691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40081597,56892611,65702924,72426863,75280329,75906996,76251854,76410381,76500747,76752521,76912804,76997594,77025690,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381,77041381
