Year,BOM_id,Movie,W_01,W_02,W_03,W_04,W_05,W_06,W_07,W_08,W_09,W_10,W_11,W_12,W_13,W_14,W_15,W_16,W_17,W_18,W_19,W_20,W_21,W_22,W_23,W_24,W_25,W_26,W_27,W_28,W_29,W_30,W_31,W_32,W_33,W_34,W_35,W_36,W_37,W_38,W_39,W_40,W_41,W_42,W_43,W_44,W_45,W_46,W_47,W_48,W_49,W_50,W_51,W_52,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52
18,marvel0518,Avengers: Infinity War,338332540,147679563,80348856,38833679,27304294,15398767,11006251,8080499,4098263,2846762,1473963,1030085,722556,660755,399274,274762,139811,76484,81539,26779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338332540,486012103,566360959,605194638,632498932,647897699,658903950,666984449,671082712,673929474,675403437,676433522,677156078,677816833,678216107,678490869,678630680,678707164,678788703,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482,678815482
18,avengers2,Avengers: Age of Ultron,235655468,97515340,49999671,32979546,15663871,9288322,5497735,4185302,2560023,1437804,747285,752461,491216,281932,196341,161070,115936,286374,571421,263989,184369,115076,55316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235655468,333170808,383170479,416150025,431813896,441102218,446599953,450785255,453345278,454783082,455530367,456282828,456774044,457055976,457252317,457413387,457529323,457815697,458387118,458651107,458835476,458950552,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868,459005868
18,marvel2016,Captain America: Civil War,223329078,90947075,43199796,23873208,11207990,6423822,3507761,2159658,1284776,461030,292151,178878,124873,338687,288182,130199,121770,166209,32380,16826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223329078,314276153,357475948,381349157,392557148,398980969,402488730,404648388,405933164,406394194,406686345,406865223,406990096,407328783,407616965,407747164,407868934,408035143,408067523,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349,408084349
18,spiderman2017,Spider-Man: Homecoming,163070314,66631267,35205224,21200971,14245918,9447687,6316701,4283464,5286248,2699454,2406414,1324655,734787,392324,370987,206645,128876,106778,79244,43995,19187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163070314,229701581,264906805,286107776,300353694,309801381,316118082,320401546,325687794,328387248,330793662,332118317,332853104,333245428,333616415,333823060,333951936,334058714,334137958,334181953,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140,334201140
18,ironman,Iron Man,3500000,123134395,64650994,40882027,30457656,18745129,10927753,8487915,6136336,3326315,2233371,1443239,690171,492288,934726,674802,512993,340410,309516,159888,120193,79699,73383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000,126634395,191285389,232167416,262625072,281370201,292297954,300785869,306922205,310248520,312481891,313925130,314615301,315107589,316042315,316717117,317230110,317570520,317880036,318039924,318160117,318239816,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199,318313199
18,ironman2,Iron Man 2,159159871,65504932,33912107,24934252,11250022,6576893,4169192,2147194,1190076,612311,944999,713881,496936,317889,197790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159159871,224664803,258576910,283511162,294761184,301338077,305507269,307654463,308844539,309456850,310401849,311115730,311612666,311930555,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345,312128345
18,marvel716,Doctor Strange,109982169,53884708,28174050,16782250,8908269,6318581,3568939,1842344,1129608,444490,309972,185753,141910,325763,259585,186635,106892,60602,29400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109982169,163866877,192040927,208823177,217731446,224050027,227618966,229461310,230590918,231035408,231345380,231531133,231673043,231998806,232258391,232445026,232551918,232612520,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920,232641920
18,thor2,Thor: The Dark World,108511114,45209707,21898969,13279852,6526047,4012419,2289429,1245160,646889,422176,300185,227616,143588,432638,407129,315040,188513,139065,67728,34462,23472,28498,12444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108511114,153720821,175619790,188899642,195425689,199438108,201727537,202972697,203619586,204041762,204341947,204569563,204713151,205145789,205582918,205867958,206056471,206195536,206263264,206297726,206321198,206349696,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140,206362140
18,antman,Ant-Man,81310529,38218390,20081627,12439707,8386117,5696156,4170174,4224421,2123725,1228410,473822,184083,142790,100183,314810,245129,264537,184918,169500,133393,65456,44286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81310529,119528919,139610546,152050253,160436370,166132526,170302700,174527121,176650846,177879256,178353078,178537161,178679951,178780134,179094944,179340073,179604610,179789528,179959028,180092421,180157877,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163,180202163
18,incrediblehulk,The Incredible Hulk,74919370,31362595,13660150,7638975,3559560,977530,687150,730215,473825,274695,142865,106955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74919370,106281965,119942115,127581090,131140650,132118180,132805330,133535545,134009370,134284065,134426930,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885,134533885
