,Movie_title,Year,Genre,Average_Rating,Tomatometer,RT_link,Audience_Rating,RT_link,IMDb,IMDb_link,Letterboxd,LB_link,Metascore,Ms_link
22,North by Northwest,1959,"Adventure, Mystery, Thriller",91,99,https://www.rottentomatoes.com/m/north-by-northwest,94,https://www.rottentomatoes.com/m/north-by-northwest,83,https://www.imdb.com/title/tt0053125,83,https://flickmetrix.com/#,98,https://flickmetrix.com/#
23,The Army of Shadows,1969,"Drama, War",91,97,https://www.rottentomatoes.com/search/?search=The%20Army%20of%20Shadows,94,https://www.rottentomatoes.com/search/?search=The%20Army%20of%20Shadows,82,https://www.imdb.com/title/tt0064040,85,https://flickmetrix.com/#,99,https://flickmetrix.com/#
24,Vertigo,1958,"Mystery, Romance, Thriller",91,96,https://www.rottentomatoes.com/m/vertigo/,93,https://www.rottentomatoes.com/m/vertigo/,83,https://www.imdb.com/title/tt0052357,85,https://flickmetrix.com/#,100,https://flickmetrix.com/#
25,Sunset Blvd.,1950,"Drama, Film-Noir",91,98,https://www.rottentomatoes.com/search/?search=Sunset%20Blvd.,95,https://www.rottentomatoes.com/search/?search=Sunset%20Blvd.,84,https://www.imdb.com/title/tt0043014,88,https://flickmetrix.com/#,,https://flickmetrix.com/#
26,Apocalypse Now,1979,"Drama, War",91,96,https://www.rottentomatoes.com/m/apocalypse_now/,94,https://www.rottentomatoes.com/m/apocalypse_now/,85,https://www.imdb.com/title/tt0078788,87,https://flickmetrix.com/#,94,https://flickmetrix.com/#
27,Metropolis,1927,"Drama, Sci-Fi",91,99,https://www.rottentomatoes.com/m/1013775_metropolis?,92,https://www.rottentomatoes.com/m/1013775_metropolis?,83,https://www.imdb.com/title/tt0017136,84,https://flickmetrix.com/#,98,https://flickmetrix.com/#
28,The Third Man,1949,"Film-Noir, Mystery, Thriller",91,99,https://www.rottentomatoes.com/m/the_third_man/,93,https://www.rottentomatoes.com/m/the_third_man/,82,https://www.imdb.com/title/tt0041959,85,https://flickmetrix.com/#,97,https://flickmetrix.com/#
29,M,1931,"Crime, Mystery, Thriller",91,100,https://www.rottentomatoes.com/m/1012928_m,95,https://www.rottentomatoes.com/m/1012928_m,83,https://www.imdb.com/title/tt0022100,86,https://flickmetrix.com/#,,https://flickmetrix.com/#
30,Minding the Gap,2018,Documentary,91,100,https://www.rottentomatoes.com/m/minding_the_gap/,96,https://www.rottentomatoes.com/m/minding_the_gap/,82,https://www.imdb.com/title/tt7476236,84,https://flickmetrix.com/#,93,https://flickmetrix.com/#
31,Ran,1985,"Action, Drama",91,96,https://www.rottentomatoes.com/m/ran/,95,https://www.rottentomatoes.com/m/ran/,82,https://www.imdb.com/title/tt0089881,86,https://flickmetrix.com/#,96,https://flickmetrix.com/#
32,The Battle of Algiers,1966,"Drama, War",91,99,https://www.rottentomatoes.com/search/?search=The%20Battle%20of%20Algiers,95,https://www.rottentomatoes.com/search/?search=The%20Battle%20of%20Algiers,81,https://www.imdb.com/title/tt0058946,85,https://flickmetrix.com/#,95,https://flickmetrix.com/#
33,Toy Story,1995,"Animation, Adventure, Comedy, Family, Fantasy",91,100,https://www.rottentomatoes.com/m/toy_story/,92,https://www.rottentomatoes.com/m/toy_story/,83,https://www.imdb.com/title/tt0114709,85,https://flickmetrix.com/#,95,https://flickmetrix.com/#
34,A Separation,2011,"Crime, Drama, Family, Mystery",91,99,https://www.rottentomatoes.com/m/a_separation_2011/,92,https://www.rottentomatoes.com/m/a_separation_2011/,83,https://www.imdb.com/title/tt1832382,85,https://flickmetrix.com/#,95,https://flickmetrix.com/#
35,Taxi Driver,1976,"Crime, Drama",91,98,https://www.rottentomatoes.com/m/taxi_driver/,93,https://www.rottentomatoes.com/m/taxi_driver/,83,https://www.imdb.com/title/tt0075314,86,https://flickmetrix.com/#,94,https://flickmetrix.com/#
36,Double Indemnity,1944,"Crime, Drama, Film-Noir, Mystery, Thriller",91,96,https://www.rottentomatoes.com/m/double_indemnity/,95,https://www.rottentomatoes.com/m/double_indemnity/,83,https://www.imdb.com/title/tt0036775,84,https://flickmetrix.com/#,95,https://flickmetrix.com/#
37,Some Like It Hot,1959,"Comedy, Romance",90,96,https://www.rottentomatoes.com/m/some_like_it_hot/,94,https://www.rottentomatoes.com/m/some_like_it_hot/,82,https://www.imdb.com/title/tt0053291,83,https://flickmetrix.com/#,97,https://flickmetrix.com/#
38,The Conformist,1970,Drama,90,98,https://www.rottentomatoes.com/m/the_conformist/,91,https://www.rottentomatoes.com/m/the_conformist/,81,https://www.imdb.com/title/tt0065571,82,https://flickmetrix.com/#,100,https://flickmetrix.com/#
39,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy",90,91,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring/,95,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring/,88,https://www.imdb.com/title/tt0120737,86,https://flickmetrix.com/#,92,https://flickmetrix.com/#
40,The Night of the Hunter,1955,"Crime, Drama, Film-Noir, Thriller",90,98,https://www.rottentomatoes.com/m/night_of_the_hunter/,90,https://www.rottentomatoes.com/m/night_of_the_hunter/,80,https://www.imdb.com/title/tt0048424,85,https://flickmetrix.com/#,99,https://flickmetrix.com/#
41,Won't You Be My Neighbor?,2018,"Documentary, Biography",90,99,https://www.rottentomatoes.com/search/?search=Won%27t%20You%20Be%20My%20Neighbor?,98,https://www.rottentomatoes.com/search/?search=Won%27t%20You%20Be%20My%20Neighbor?,85,https://www.imdb.com/title/tt7681902,85,https://flickmetrix.com/#,85,https://flickmetrix.com/#
42,Paths of Glory,1957,"Drama, War",90,95,https://www.rottentomatoes.com/m/paths_of_glory/,95,https://www.rottentomatoes.com/m/paths_of_glory/,84,https://www.imdb.com/title/tt0050825,87,https://flickmetrix.com/#,,https://flickmetrix.com/#
43,Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy, Sci-Fi",90,93,https://www.rottentomatoes.com/m/star_wars/,96,https://www.rottentomatoes.com/m/star_wars/,86,https://www.imdb.com/title/tt0076759,86,https://flickmetrix.com/#,90,https://flickmetrix.com/#
44,Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy, Sci-Fi",90,95,https://www.rottentomatoes.com/m/empire_strikes_back/,97,https://www.rottentomatoes.com/m/empire_strikes_back/,88,https://www.imdb.com/title/tt0080684,89,https://flickmetrix.com/#,82,https://flickmetrix.com/#
45,Amadeus,1984,"Biography, Drama, History, Music",90,95,https://www.rottentomatoes.com/search/?search=Amadeus,95,https://www.rottentomatoes.com/search/?search=Amadeus,83,https://www.imdb.com/title/tt0086879,84,https://flickmetrix.com/#,93,https://flickmetrix.com/#
46,Bicycle Thieves,1948,Drama,90,98,https://www.rottentomatoes.com/search/?search=Bicycle%20Thieves,94,https://www.rottentomatoes.com/search/?search=Bicycle%20Thieves,83,https://www.imdb.com/title/tt0040522,85,https://flickmetrix.com/#,,https://flickmetrix.com/#
47,Chinatown,1974,"Drama, Mystery, Thriller",90,98,https://www.rottentomatoes.com/m/chinatown/,93,https://www.rottentomatoes.com/m/chinatown/,82,https://www.imdb.com/title/tt0071315,85,https://flickmetrix.com/#,92,https://flickmetrix.com/#
48,It's a Wonderful Life,1946,"Drama, Family, Fantasy",90,94,https://www.rottentomatoes.com/search/?search=It%27s%20a%20Wonderful%20Life,95,https://www.rottentomatoes.com/search/?search=It%27s%20a%20Wonderful%20Life,86,https://www.imdb.com/title/tt0038650,86,https://flickmetrix.com/#,89,https://flickmetrix.com/#
49,Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",90,97,https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail/,95,https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail/,83,https://www.imdb.com/title/tt0071853,82,https://flickmetrix.com/#,93,https://flickmetrix.com/#
50,The 400 Blows,1959,"Crime, Drama",90,100,https://www.rottentomatoes.com/search/?search=The%20400%20Blows,94,https://www.rottentomatoes.com/search/?search=The%20400%20Blows,81,https://www.imdb.com/title/tt0053198,85,https://flickmetrix.com/#,,https://flickmetrix.com/#
51,The Best of Youth,2003,"Drama, Romance",90,94,https://www.rottentomatoes.com/search/?search=The%20Best%20of%20Youth,98,https://www.rottentomatoes.com/search/?search=The%20Best%20of%20Youth,85,https://www.imdb.com/title/tt0346336,84,https://flickmetrix.com/#,89,https://flickmetrix.com/#
52,The Dark Knight,2008,"Action, Crime, Drama, Thriller",90,94,https://www.rottentomatoes.com/search/?search=The%20Dark%20Knight,94,https://www.rottentomatoes.com/search/?search=The%20Dark%20Knight,90,https://www.imdb.com/title/tt0468569,88,https://flickmetrix.com/#,84,https://flickmetrix.com/#
53,The Shawshank Redemption,1994,Drama,90,91,https://www.rottentomatoes.com/m/shawshank_redemption/,98,https://www.rottentomatoes.com/m/shawshank_redemption/,93,https://www.imdb.com/title/tt0111161,88,https://flickmetrix.com/#,80,https://flickmetrix.com/#
54,On the Waterfront,1954,"Crime, Drama, Thriller",90,98,https://www.rottentomatoes.com/m/on_the_waterfront/,95,https://www.rottentomatoes.com/m/on_the_waterfront/,82,https://www.imdb.com/title/tt0047296,83,https://flickmetrix.com/#,91,https://flickmetrix.com/#
55,Pan's Labyrinth,2006,"Drama, Fantasy, War",90,95,https://www.rottentomatoes.com/search/?search=Pan%27s%20Labyrinth,91,https://www.rottentomatoes.com/search/?search=Pan%27s%20Labyrinth,82,https://www.imdb.com/title/tt0457430,83,https://flickmetrix.com/#,98,https://flickmetrix.com/#
56,The Lord of the Rings: The Two Towers,2002,"Adventure, Drama, Fantasy",90,95,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers/,95,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers/,87,https://www.imdb.com/title/tt0167261,85,https://flickmetrix.com/#,87,https://flickmetrix.com/#
57,Touch of Evil,1958,"Crime, Drama, Film-Noir, Thriller",90,96,https://www.rottentomatoes.com/m/1021749_touch_of_evil,92,https://www.rottentomatoes.com/m/1021749_touch_of_evil,80,https://www.imdb.com/title/tt0052311,82,https://flickmetrix.com/#,99,https://flickmetrix.com/#
58,Yi Yi,2000,"Drama, Romance",90,96,https://www.rottentomatoes.com/m/yi_yi/,91,https://www.rottentomatoes.com/m/yi_yi/,81,https://www.imdb.com/title/tt0244316,88,https://flickmetrix.com/#,93,https://flickmetrix.com/#
59,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama, Fantasy",90,93,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king/,86,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king/,89,https://www.imdb.com/title/tt0167260,86,https://flickmetrix.com/#,94,https://flickmetrix.com/#
60,The Maltese Falcon,1941,"Film-Noir, Mystery",90,100,https://www.rottentomatoes.com/m/1013139_maltese_falcon,91,https://www.rottentomatoes.com/m/1013139_maltese_falcon,81,https://www.imdb.com/title/tt0033870,80,https://flickmetrix.com/#,96,https://flickmetrix.com/#
61,The Philadelphia Story,1940,"Comedy, Romance",90,100,https://www.rottentomatoes.com/m/philadelphia_story/,93,https://www.rottentomatoes.com/m/philadelphia_story/,80,https://www.imdb.com/title/tt0032904,79,https://flickmetrix.com/#,96,https://flickmetrix.com/#
62,The Silence of the Lambs,1991,"Crime, Drama, Thriller",90,96,https://www.rottentomatoes.com/m/silence_of_the_lambs/,95,https://www.rottentomatoes.com/m/silence_of_the_lambs/,86,https://www.imdb.com/title/tt0102926,86,https://flickmetrix.com/#,85,https://flickmetrix.com/#
63,Rashomon,1950,"Crime, Drama, Mystery",90,98,https://www.rottentomatoes.com/search/?search=Rashomon,93,https://www.rottentomatoes.com/search/?search=Rashomon,83,https://www.imdb.com/title/tt0042876,84,https://flickmetrix.com/#,,https://flickmetrix.com/#
64,Back to the Future,1985,"Adventure, Comedy, Sci-Fi",89,96,https://www.rottentomatoes.com/m/back_to_the_future/,94,https://www.rottentomatoes.com/m/back_to_the_future/,85,https://www.imdb.com/title/tt0088763,85,https://flickmetrix.com/#,87,https://flickmetrix.com/#
